SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
127,2.90763052,332.6010957,0.00538608,0.084451718,0.34392265,0.21428571,8,6,0.012929687,3.305427074,FALSE,1.5,REN,13.625,2.128571429,8,0,0,0.78804105,FALSE,0,REN,2352,6703144.5,0.18493151
139,3.29317269,325.9685536,0.00527867,0.081878769,0.30365854,0.17857143,8,6,0.006434334,3.305427074,FALSE,1.25,MME,7,2.654761905,8,0,0,0.74520303,FALSE,0,MME,1972,1660014.5,0.19097222
154,3.42168675,47.27808577,7.66E-04,0.081055608,0.29225352,0.57142857,8,6,0.004117299,3.305427074,FALSE,4,GSTM1,9.375,5.157142857,8,0,0,0.73092369,FALSE,0,GSTM1,352,679834.3125,0.27573529
342,3.24497992,413.2193834,0.0066916,0.082191781,0.30816832,0.28571429,8,7,0.008197008,3.305427074,FALSE,2,CTSB,9.625,4.342857143,8,0,0,0.75055779,FALSE,0,CTSB,3078,2694132.75,0.20923913
345,3.10441767,46.06648765,7.46E-04,0.083118557,0.3221216,0.5,8,7,0.018369911,3.305427074,FALSE,3.5,BIRC2,15.375,4.321428571,8,0,0,0.76617581,FALSE,0,BIRC2,338,1.35E+07,0.25625
363,2.85140562,71.2548311,0.00115389,0.084840513,0.35070423,0.32142857,8,6,0.028275393,3.305427074,FALSE,2.25,CHUK,21.375,2.571428571,8,0,0,0.79428826,FALSE,0,CHUK,930,3.21E+07,0.24016854
375,3.18473896,210.4780898,0.00340844,0.082586428,0.31399748,0.39285714,8,7,0.008826134,3.305427074,FALSE,2.75,TOP2A,12.5,3.678571429,8,0,0,0.75725123,FALSE,0,TOP2A,2080,3124223.25,0.25
404,3.01606426,0.376068376,6.09E-06,0.083711875,0.33155792,0.92857143,8,6,0.048187844,3.305427074,FALSE,6.5,WAS,30.375,7.428571429,8,0,0,0.77599286,FALSE,0,WAS,4,9.31E+07,0.405
610,3.36546185,140.5795647,0.00227652,0.081413695,0.29713604,0.35714286,8,7,0.004603644,3.305427074,FALSE,2.5,CYP2C9,7.75,4.428571429,8,0,0,0.73717091,FALSE,0,CYP2C9,850,849850.0625,0.25416667
854,2.82730924,383.6254633,0.00621236,0.085008237,0.35369318,0.35714286,8,6,0.019320136,3.305427074,FALSE,2.5,VDR,19.625,2.857142857,8,0,0,0.79696564,FALSE,0,VDR,2428,1.50E+07,0.20923913
91,2.89558233,1.123645183,1.82E-05,0.084534731,0.34535368,0.85714286,7,6,0.052703861,3.161411047,FALSE,5.142857143,EPHA2,40.14285714,6,7,0,0,0.78937974,FALSE,0,EPHA2,32,1.11E+08,0.44603175
131,3.1686747,714.7016718,0.01157374,0.082692308,0.31558935,0.19047619,7,6,0.005770111,3.161411047,FALSE,1.142857143,DPP4,9,1.5,7,0,0,0.75903614,FALSE,0,DPP4,4470,1334988.75,0.20748299
143,3.2248996,1563.67273,0.02532182,0.08232291,0.31008717,0.04761905,7,7,0.006019422,3.161411047,FALSE,0.285714286,GHRL,7.28571429,1.166666667,7,0,0,0.75278893,FALSE,0,GHRL,9580,1452825.25,0.16027875
145,3.38554217,838.0940191,0.01357193,0.081285444,0.29537367,0.42857143,7,6,0.003398084,3.161411047,FALSE,2.571428571,ADH1B,8.42857143,3.5,7,0,0,0.73493976,FALSE,0,ADH1B,5822,463048.7188,0.25892857
150,3.72289157,830.9376839,0.01345604,0.079189687,0.26860841,0.14285714,7,7,6.32E-04,3.161411047,FALSE,0.857142857,MAOB,4.28571429,1.4,7,0,0,0.69745649,FALSE,0,MAOB,4580,16039.05176,0.23214286
210,2.88353414,400.3989874,0.00648398,0.084617908,0.34679666,0.52380952,7,6,0.018142434,3.161411047,FALSE,3.142857143,LCN2,18.42857143,3.916666667,7,0,0,0.79071843,FALSE,0,LCN2,2362,1.32E+07,0.22299652
